arc_model,baseline_set,N,budget_mps,horizon_days,baseline,candidate_count,overestimation_count,overestimation_rate,underestimation_count,underestimation_rate,excess_0_count,excess_1_count,excess_2_count,excess_ge3_count,max_excess,min_excess
v2_two_edge,v2_repaired,24,50,90,LINEAR_MIN,2000,312,0.156,0,0,1688,312,0,0,1,0
v2_two_edge,v2_repaired,24,50,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,1,1999,9,2
v2_two_edge,v2_repaired,24,75,30,EQUAL_SECTOR,2000,1935,0.96750000000000003,0,0,65,247,527,1161,8,0
v2_two_edge,v2_repaired,24,75,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,75,30,LINEAR_MIN,2000,88,0.043999999999999997,0,0,1912,88,0,0,1,0
v2_two_edge,v2_repaired,24,75,30,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,1,1999,12,2
v2_two_edge,v2_repaired,24,75,60,EQUAL_SECTOR,2000,1982,0.99099999999999999,0,0,18,135,402,1445,8,0
v2_two_edge,v2_repaired,24,75,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,75,60,LINEAR_MIN,2000,214,0.107,0,0,1786,214,0,0,1,0
v2_two_edge,v2_repaired,24,75,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,14,5
v2_two_edge,v2_repaired,24,75,90,EQUAL_SECTOR,2000,1982,0.99099999999999999,0,0,18,136,409,1437,8,0
v2_two_edge,v2_repaired,24,75,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,75,90,LINEAR_MIN,2000,337,0.16850000000000001,0,0,1663,337,0,0,1,0
v2_two_edge,v2_repaired,24,75,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,6,1994,8,2
v2_two_edge,v2_repaired,36,25,30,EQUAL_SECTOR,2000,1969,0.98450000000000004,0,0,31,147,381,1441,12,0
v2_two_edge,v2_repaired,36,25,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,25,30,LINEAR_MIN,2000,57,0.028500000000000001,0,0,1943,57,0,0,1,0
v2_two_edge,v2_repaired,36,25,30,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,1,2,1997,16,1
v2_two_edge,v2_repaired,36,25,60,EQUAL_SECTOR,2000,1996,0.998,0,0,4,36,128,1832,11,0
v2_two_edge,v2_repaired,36,25,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,25,60,LINEAR_MIN,2000,160,0.080000000000000002,0,0,1840,160,0,0,1,0
v2_two_edge,v2_repaired,36,25,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,19,8
v2_two_edge,v2_repaired,36,25,90,EQUAL_SECTOR,2000,1996,0.998,0,0,4,20,110,1866,10,0
v2_two_edge,v2_repaired,36,25,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,25,90,LINEAR_MIN,2000,209,0.1045,0,0,1791,209,0,0,1,0
v2_two_edge,v2_repaired,36,25,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,20,11
v2_two_edge,v2_repaired,36,50,30,EQUAL_SECTOR,2000,1996,0.998,0,0,4,36,127,1833,11,0
