scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,winner_Max_gap_min,winner_K_min
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,9,12,2331,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,10,12,2738,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,11,12,2966,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,12,12,3000,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,1,24,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,2,24,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,3,24,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,4,24,6,582,593,4
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,5,24,94,549,552,5
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,6,24,126,542,553,6
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,7,24,136,291,324,7
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,8,24,180,289,316,8
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,9,24,240,90,164,9
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,10,24,283,31,151,10
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,11,24,345,29,166,11
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,12,24,410,24,34,12
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,13,24,481,21,32,13
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,14,24,577,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,15,24,685,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,16,24,793,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,17,24,945,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,18,24,1095,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,19,24,1315,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,20,24,1593,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,21,24,1992,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,22,24,2479,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,23,24,2852,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,24,24,3000,20,32,14
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,1,24,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,2,24,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,3,24,0,,,
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,4,24,6,570,613,4
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,5,24,94,534,561,5
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,6,24,126,534,561,5
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,7,24,136,292,349,7
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,8,24,180,284,324,8
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,9,24,240,90,164,9
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,10,24,283,30,148,10
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,11,24,345,29,179,11
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,12,24,410,24,42,12
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,1447200,v2_two_edge,13,24,481,21,32,13
