scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,previous_frontier_P95_primary_min,delta_P95_min,is_max_improvement_K,max_improvement_K,max_improvement_delta_P95_min
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,6,12,1505,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,7,12,1755,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,8,12,2005,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,9,12,2281,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,10,12,2637,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,11,12,2926,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,12,12,3000,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,1,12,249,549,,,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,2,12,502,296,549,253,true,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,3,12,756,97,296,199,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,4,12,1007,40,97,57,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,5,12,1256,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,6,12,1505,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,7,12,1755,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,8,12,2005,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,9,12,2281,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,10,12,2637,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,11,12,2926,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,1447200,v2_two_edge,12,12,3000,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,1,12,0,,,,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,2,12,66,546,,,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,3,12,262,126,546,420,true,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,4,12,433,42,126,84,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,5,12,612,42,42,0,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,6,12,842,42,42,0,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,7,12,1107,41,42,1,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,8,12,1425,41,41,0,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,9,12,1799,41,41,0,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,10,12,2177,41,41,0,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,11,12,2581,41,41,0,false,3,420
